date,s&p500,dividend,earnings,cpi,bondInterest
1913-08,8.45,0.48,0.65,9.900,4.281
1913-09,8.53,0.48,0.65,10.000,4.257
1913-10,8.26,0.48,0.64,10.000,4.233
1913-11,8.05,0.48,0.64,10.100,4.208
1913-12,8.04,0.48,0.63,10.000,4.184
1914-01,8.37,0.48,0.62,10.000,4.160
1914-02,8.48,0.47,0.61,9.900,4.167
1914-03,8.32,0.47,0.60,9.900,4.173
1914-04,8.12,0.46,0.59,9.800,4.180
1914-05,8.17,0.46,0.58,9.900,4.187
1914-06,8.13,0.45,0.58,9.900,4.193
1914-07,7.68,0.45,0.57,10.000,4.200
1914-08,7.68,0.44,0.56,10.200,4.207
1914-09,7.68,0.44,0.55,10.200,4.213
1914-10,7.68,0.43,0.54,10.100,4.220
1914-11,7.68,0.43,0.53,10.200,4.227
1914-12,7.35,0.42,0.52,10.100,4.233
1915-01,7.48,0.42,0.55,10.100,4.240
1915-02,7.38,0.42,0.58,10.000,4.224
1915-03,7.57,0.42,0.61,9.900,4.208
1915-04,8.14,0.42,0.64,10.000,4.193
1915-05,7.95,0.42,0.67,10.100,4.177
1915-06,8.04,0.43,0.70,10.100,4.161
1915-07,8.01,0.43,0.73,10.100,4.145
1915-08,8.35,0.43,0.76,10.100,4.129
1915-09,8.66,0.43,0.79,10.100,4.113
1915-10,9.14,0.43,0.82,10.200,4.098
1915-11,9.46,0.43,0.85,10.300,4.082
1915-12,9.48,0.43,0.88,10.300,4.066
1916-01,9.33,0.44,0.93,10.400,4.050
1916-02,9.20,0.45,0.99,10.400,4.065
1916-03,9.17,0.46,1.04,10.500,4.080
1916-04,9.07,0.47,1.10,10.600,4.095
1916-05,9.27,0.48,1.15,10.700,4.110
1916-06,9.36,0.50,1.21,10.800,4.125
1916-07,9.23,0.51,1.26,10.800,4.140
1916-08,9.30,0.52,1.31,10.900,4.155
1916-09,9.68,0.53,1.37,11.100,4.170
1916-10,9.98,0.54,1.42,11.300,4.185
1916-11,10.21,0.55,1.48,11.500,4.200
1916-12,9.80,0.56,1.53,11.600,4.215
1917-01,9.57,0.57,1.51,11.700,4.230
